LOR_Schluessel,Bezeichnung,Raub_2018,Koerperverletzungen_2018,Diebstahl_Kraftwagen_2018,Diebstahl_an/aus_Kfz_2018,Fahrraddiebstahl_2018,Wohnraumeinbruch_2018,Branddelikte_2018,Sachbeschaedigung_2018,Rauschgiftdelikte_2018,Raub_2019,Koerperverletzungen_2019,Diebstahl_Kraftwagen_2019,Diebstahl_an/aus_Kfz_2019,Fahrraddiebstahl_2019,Wohnraumeinbruch_2019,Branddelikte_2019,Sachbeschaedigung_2019,Rauschgiftdelikte_2019,Raub_2020,Koerperverletzungen_2020,Diebstahl_Kraftwagen_2020,Diebstahl_an/aus_Kfz_2020,Fahrraddiebstahl_2020,Wohnraumeinbruch_2020,Branddelikte_2020,Sachbeschaedigung_2020,Rauschgiftdelikte_2020,Raub_2021,Koerperverletzungen_2021,Diebstahl_Kraftwagen_2021,Diebstahl_an/aus_Kfz_2021,Fahrraddiebstahl_2021,Wohnraumeinbruch_2021,Branddelikte_2021,Sachbeschaedigung_2021,Rauschgiftdelikte_2021,Raub_2022,Koerperverletzungen_2022,Diebstahl_Kraftwagen_2022,Diebstahl_an/aus_Kfz_2022,Fahrraddiebstahl_2022,Wohnraumeinbruch_2022,Branddelikte_2022,Sachbeschaedigung_2022,Rauschgiftdelikte_2022,Raub_2023,Koerperverletzungen_2023,Diebstahl_Kraftwagen_2023,Diebstahl_an/aus_Kfz_2023,Fahrraddiebstahl_2023,Wohnraumeinbruch_2023,Branddelikte_2023,Sachbeschaedigung_2023,Rauschgiftdelikte_2023
011001,Tiergarten Süd,470,"2,817",116,"1,851","2,110",259,95,"1,926","1,858",349,"2,290",87,"1,115","1,887",369,81,"2,042","1,518",320,"2,536",126,"1,065","1,977",180,113,"1,691","1,225",231,"2,026",79,"1,339","1,551",158,79,"1,702","1,320",233,"2,612",107,"1,227","1,926",176,170,"2,109","1,429",287,"2,557",147,"1,609","1,707",202,92,"1,823","1,284"
011002,Regierungsviertel,272,"4,222",123,"1,621","3,037",288,41,"3,333","1,086",294,"4,147",87,"1,279","2,693",167,151,"3,798","1,303",275,"3,539",79,"1,542","1,817",252,102,"3,587","1,093",255,"3,131",54,"1,214","1,902",124,31,"3,039","1,330",300,"3,609",80,"1,257","1,965",234,117,"3,178","1,293",322,"3,546",95,"1,729","1,443",286,51,"3,604","1,209"
011003,Alexanderplatz,231,"2,700",120,"1,013","1,550",235,48,"1,836","1,714",261,"3,185",96,951,"1,550",238,73,"2,193","1,804",236,"2,780",83,"1,056","1,296",260,89,"2,301","1,398",261,"2,394",69,"1,051","1,259",130,95,"2,197","1,451",268,"3,007",82,"1,017","1,402",178,114,"2,209","1,139",324,"3,214",109,"1,007","1,388",238,101,"2,102","1,198"
011004,Brunnenstraße Süd,83,916,150,490,"1,005",179,29,"1,415",221,123,820,120,555,"1,129",202,57,"1,324",271,146,945,111,552,"1,158",143,54,"1,592",311,134,828,61,764,"1,157",102,99,"1,368",403,200,979,103,660,"1,321",131,44,"1,408",304,156,"1,086",70,549,"1,382",183,58,"1,389",253
012005,Moabit West,154,"1,413",80,861,968,180,63,"1,074",942,132,"1,455",97,674,700,201,60,"1,360","1,315",150,"1,320",83,596,800,257,111,"1,372",802,105,"1,243",85,658,851,151,110,"1,243","1,142",93,"1,208",117,813,765,104,95,"1,074",627,102,"1,291",93,969,456,180,104,"1,170",380
012006,Moabit Ost,159,"1,796",78,729,937,190,81,"1,132","1,234",116,"1,609",68,574,835,243,96,"1,369","1,377",138,"1,712",62,545,956,224,128,"1,380","1,094",156,"1,754",74,622,"1,050",173,108,"1,387","1,334",206,"1,925",59,521,"1,041",164,110,"1,276","1,304",167,"2,130",53,965,791,188,139,"1,420","1,299"
013007,Osloer Straße,197,"1,926",118,735,666,187,74,"1,125",556,144,"1,857",118,718,703,198,77,"1,193",706,148,"1,676",117,846,708,146,68,"1,332",833,206,"1,668",132,900,578,114,71,"1,262",562,199,"1,750",107,958,738,141,63,"1,154",395,229,"1,892",108,"1,102",829,178,106,"1,156",353
013008,Brunnenstraße Nord,178,"1,679",170,893,713,227,73,"1,438","1,013",153,"1,749",140,973,825,191,77,"1,483","1,039",163,"1,945",117,924,673,175,137,"1,882","1,018",183,"1,764",148,911,664,160,94,"1,616",845,227,"1,758",117,"1,042",955,125,115,"1,688",796,183,"1,912",163,"1,122","1,097",245,143,"1,641",880
014009,Parkviertel,121,"1,631",134,955,786,191,65,"1,221",271,127,"1,474",97,967,552,244,69,"1,103",309,130,"1,382",102,919,482,198,70,"1,139",545,123,"1,384",86,"1,029",513,119,86,"1,093",434,141,"1,576",168,"1,535",890,161,91,"1,047",374,142,"1,441",153,"1,671","1,030",187,105,"1,079",327
014010,Wedding Zentrum,156,"1,656",90,757,750,187,67,"1,227",923,146,"1,657",69,717,535,196,64,"1,308",973,178,"1,766",76,857,479,173,60,"1,308",948,225,"1,587",54,776,729,86,77,"1,239","1,005",184,"1,770",50,890,"1,378",124,99,"1,371",917,291,"1,762",77,"1,229","1,323",193,96,"1,227",999
